,USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
4777,5961,1992.0,Male,"under $25,000",Single (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,No,Space,Yes,,No,,,,,,,,,,No,No,,,,No,No,,Pessimist,Dad,No,Yes,,Yes,,,,,No,No,No,,,,,Republican
1715,2128,1970.0,Female,"$75,000 - $100,000",Married (w/kids),,Yes,Yes,No,No,Yes,Yes,Public,No,No,No,Yes,No,No,,Science,Try first,No,Yes,No,Yes,Giving,No,Yes,Pragmatist,Yes,No,Hot headed,Odd hours,Yes,Right,Yes,Yes,Yes,Yes,A.M.,No,End,Yes,Yes,Circumstances,No,Yes,No,Yes,Yes,TMI,Yes,No,Talk,Technology,No,Yes,Yes,Yes,No,Demanding,No,PC,Yes,Risk-friendly,No,Umm...,No,Socialize,Yes,,,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Republican
1148,1419,1962.0,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,No,No,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,No,Yes,Circumstances,Yes,No,No,Yes,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,No,In-person,Yes,No,Yes,Yes,Yay people!,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Own,Pessimist,Dad,Yes,Yes,Yes,Yes,Check!,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Republican
3261,4055,1980.0,Female,"$75,000 - $100,000",Married (no kids),Associate's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,,,No,Tunes,,,,,,,,,,Yes,Cautious,No,Umm...,No,Space,No,,No,,Yes,,,,,,,,,Yes,,,,,,,,,No,No,Yes,,Check!,Yes,No,No,,,No,Yes,No,No,Yes,Republican
574,715,1961.0,Female,"over $150,000",Married (w/kids),Bachelor's Degree,No,No,No,No,No,No,Public,No,Yes,No,No,No,,,,,No,Yes,No,Yes,Receiving,Yes,Yes,,No,No,Cool headed,Standard hours,Yes,,Yes,Yes,Yes,Yes,P.M.,Yes,,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,,No,Demanding,No,PC,,Cautious,No,Umm...,No,Socialize,No,In-person,,Yes,Yes,Yes,Yay people!,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Own,Optimist,Dad,Yes,Yes,No,No,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Republican
3769,4698,1987.0,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,No,No,No,Yes,No,Yes,Public,No,Yes,Yes,Yes,No,No,Yes,Science,Study first,No,No,Yes,No,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,No,No,Me,No,No,No,No,No,Mysterious,No,No,Talk,Technology,No,No,Yes,Yes,Yes,Demanding,No,Mac,Yes,Cautious,Yes,Yes!,No,Socialize,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Rent,Optimist,Dad,No,No,No,Yes,Check!,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Democrat
3736,4658,1994.0,Male,"under $25,000",Single (no kids),High School Diploma,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
4146,5171,1995.0,Male,"$100,001 - $150,000",Single (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,,,,No,PC,,,,,,,,,,,,,,Yes,No,Yes,No,,,,,,,,Yes,Rent,,,,,,,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Republican
853,1055,1956.0,Male,"over $150,000",Married (w/kids),,,Yes,No,Yes,,,,,,,,,,,,,,,Yes,Yes,Receiving,Yes,No,Idealist,Yes,No,,,No,,,Yes,Yes,No,A.M.,Yes,End,Yes,Yes,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,Yes,Yes,Talk,People,No,No,Yes,,Yes,,No,PC,No,Risk-friendly,No,Yes!,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,,,Yes,No,No,Yes,Republican
1982,2459,1978.0,Female,,Married (no kids),,Yes,,,,,,,,Yes,No,Yes,No,,No,Science,,No,Yes,,,Giving,,,,,,,,,,,,,,A.M.,No,Start,Yes,No,Me,Yes,Yes,No,Yes,Yes,TMI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
2774,3448,1988.0,Female,"under $25,000",Single (no kids),,Yes,Yes,No,Yes,Yes,Yes,Private,No,Yes,No,Yes,Yes,No,Yes,Art,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,Yes,No,Tunes,People,Yes,Yes,Yes,Yes,No,Supportive,Yes,PC,No,Cautious,Yes,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Rent,Optimist,Mom,No,No,Yes,Yes,Check!,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Democrat
4929,6157,,Female,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,No,Mysterious,No,No,Tunes,Technology,,,,,,,,,Yes,Cautious,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1166,1443,1976.0,Male,"$100,001 - $150,000",Married (no kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,End,Yes,Yes,Me,Yes,No,No,Yes,Yes,TMI,Yes,No,Tunes,Technology,Yes,Yes,No,No,No,Demanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Republican
971,1207,1955.0,Male,"$25,001 - $50,000",Married (w/kids),High School Diploma,No,Yes,No,No,No,No,Public,No,Yes,No,No,Yes,No,Yes,Science,Try first,Yes,No,Yes,No,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,Yes,Me,No,No,No,Yes,No,TMI,Yes,No,Talk,Technology,Yes,Yes,Yes,No,No,Supportive,No,PC,No,Cautious,No,Yes!,No,,No,In-person,Yes,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Rent,Pessimist,Mom,,Yes,No,Yes,Nope,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Democrat
2701,3362,1987.0,Female,"$25,001 - $50,000",Married (w/kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Happy,,Yes,No,No,P.M.,No,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,Yes,Mysterious,No,No,Tunes,Technology,Yes,Yes,Yes,No,No,Demanding,Yes,PC,Yes,Cautious,No,,,Socialize,No,In-person,,Yes,Yes,Yes,Grrr people,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Own,Optimist,,No,Yes,Yes,Yes,Check!,Yes,No,Yes,Yes,Yes,No,,No,No,Yes,Democrat
4495,5612,1938.0,Female,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,,,,,,,,,No,No,No,No,No,,Science,Study first,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,TMI,No,Yes,Talk,People,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,Democrat
3847,4795,1977.0,Female,"over $150,000",Married (w/kids),Bachelor's Degree,Yes,No,No,Yes,Yes,Yes,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Study first,Yes,Yes,No,Yes,Giving,No,No,Idealist,No,No,Hot headed,Odd hours,,,,,,,,,,,,,,,,,,,,,Tunes,Technology,No,No,No,Yes,No,Demanding,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,No,No,No,Yes,Yes,No,No,Republican
2368,2952,1982.0,Male,,Married (no kids),,,,,,No,Yes,Public,No,,No,Yes,No,No,Yes,Science,Study first,No,Yes,Yes,No,Giving,Yes,No,Pragmatist,Yes,No,Hot headed,Standard hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,No,Yes,No,Yes,,TMI,No,No,Tunes,Technology,No,No,Yes,Yes,No,Demanding,No,PC,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,,Yes,,,,,,Yes,No,No,Check!,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Republican
4115,5135,1976.0,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,,,No,No,Giving,Yes,No,,No,No,Cool headed,Odd hours,No,Happy,No,Yes,No,No,P.M.,Yes,,Yes,No,Me,No,No,Yes,Yes,Yes,TMI,No,,Tunes,People,No,No,Yes,,No,,Yes,PC,Yes,Cautious,,Umm...,No,Space,No,,,No,Yes,,Grrr people,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Own,Optimist,,Yes,No,Yes,Yes,Nope,Yes,No,No,Yes,,Yes,Yes,No,No,Yes,Republican
4780,5966,1976.0,Female,"$25,001 - $50,000",Single (w/kids),Associate's Degree,No,No,No,No,,,,No,Yes,No,Yes,Yes,No,,,Try first,No,Yes,Yes,No,Giving,Yes,No,,Yes,Yes,Hot headed,Odd hours,No,Happy,No,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,No,,,Yes,,TMI,No,,,,Yes,Yes,,Yes,Yes,Demanding,No,PC,Yes,,,,,,,,,,Yes,Yes,Yay people!,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Own,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,No,Yes,,,,,,Republican
4131,5152,1994.0,,,,Current Undergraduate,,,,,,,,,Yes,Yes,,No,No,Yes,Art,,Yes,Yes,,,Giving,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tunes,People,Yes,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
2950,3669,1986.0,Male,"under $25,000",Married (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,No,Idealist,Yes,Yes,Cool headed,Standard hours,No,Right,No,Yes,Yes,No,P.M.,No,Start,Yes,No,Circumstances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,Rent,Optimist,Dad,Yes,No,,,,,,,,Yes,No,Yes,Yes,Yes,No,Republican
524,655,1989.0,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,No,No,Yes,No,No,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Study first,No,Yes,Yes,No,Giving,No,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,No,Yes,No,Yes,No,Mysterious,Yes,No,Talk,People,No,Yes,No,Yes,No,Supportive,Yes,Mac,No,Cautious,No,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Rent,Optimist,Mom,No,Yes,Yes,Yes,Nope,No,No,No,No,Yes,No,Only-child,Yes,No,No,Democrat
2455,3060,1986.0,Male,"$25,001 - $50,000",Single (no kids),,,,,,,,,,,,,,No,Yes,Art,Study first,No,No,Yes,No,Giving,Yes,Yes,Idealist,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
5016,6269,1981.0,,"$75,000 - $100,000",Single (no kids),Master's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunes,Technology,No,,,,Yes,Demanding,Yes,PC,Yes,Risk-friendly,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1841,2281,1969.0,Male,"over $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,,No,Yes,Private,No,,No,No,No,,Yes,Science,Try first,,,,,,,,,No,No,,,,,,Yes,No,,,,Start,,Yes,,,,,Yes,,,,Yes,Talk,,,,,,,,Yes,Mac,,,,,No,,,In-person,No,,,No,,,,,,,No,,,,,,,,,,Yes,,,No,,,,No,,,Yes,Yes,,,,Republican
537,670,1995.0,Male,"$75,000 - $100,000",Single (no kids),High School Diploma,,Yes,No,No,Yes,Yes,Public,Yes,Yes,No,Yes,Yes,Yes,Yes,Science,Try first,No,No,Yes,No,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Odd hours,No,Right,No,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,Yes,Mysterious,Yes,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Supportive,Yes,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Rent,Pessimist,Dad,No,No,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Republican
2806,3488,1996.0,Male,,Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Democrat
4341,5419,1996.0,Male,"under $25,000",Single (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,P.M.,,Start,,No,,Yes,,,,,,,,,,,,,,,,,,,Cautious,,Umm...,,,,In-person,,,,Yes,Yay people!,,,,Yes,,Yes,Yes,,,,Yes,,,,,,,No,,,,No,,,,No,Only-child,Yes,No,No,Democrat
3175,3959,1972.0,Male,"$100,001 - $150,000",Married (no kids),,,,,,,,,,Yes,No,,,Yes,Yes,Science,Study first,No,Yes,No,Yes,Giving,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
784,972,1987.0,Female,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Yes,Yes,No,Yes,Yes,Yes,Private,No,Yes,Yes,No,Yes,Yes,Yes,Art,Try first,No,Yes,Yes,Yes,Giving,No,No,Pragmatist,Yes,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,No,Yes,Yes,No,TMI,No,Yes,Tunes,Technology,No,Yes,No,Yes,Yes,Demanding,Yes,Mac,Yes,Risk-friendly,Yes,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,,Democrat
4057,5057,1973.0,Female,"$100,001 - $150,000",Married (no kids),Master's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk,Technology,No,No,No,Yes,No,Supportive,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimist,Mom,,No,Yes,Yes,Check!,Yes,No,No,No,Yes,Yes,Only-child,No,No,No,Democrat
1409,1754,1982.0,Female,"$50,000 - $74,999",Married (no kids),Bachelor's Degree,No,Yes,No,Yes,No,No,Public,No,No,No,Yes,Yes,Yes,No,Science,Try first,No,,Yes,No,Giving,Yes,Yes,Idealist,Yes,No,Cool headed,Standard hours,No,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Circumstances,No,No,No,,No,Mysterious,No,,Tunes,Technology,No,,Yes,Yes,Yes,Supportive,Yes,,Yes,Cautious,Yes,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Rent,Optimist,Dad,No,No,No,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Democrat
2537,3156,1967.0,Male,"$25,001 - $50,000",Single (w/kids),,,No,No,Yes,No,No,Public,No,No,No,Yes,Yes,No,Yes,Science,Study first,No,,,Yes,Giving,No,,,,,,,,,,,No,No,A.M.,Yes,Start,Yes,Yes,Me,,Yes,Yes,Yes,No,,No,No,,,,Yes,Yes,Yes,No,,No,,,Cautious,,Umm...,Yes,Space,No,,No,No,Yes,Yes,Grrr people,,,,Yes,No,No,Yes,No,No,No,Yes,No,Own,,,,,,,Check!,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Republican
154,194,1980.0,Male,"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Yes,Yes,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Study first,No,Yes,No,No,Giving,No,Yes,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,Yes,Yes,Supportive,Yes,Mac,Yes,Cautious,No,,No,,,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Own,Pessimist,Mom,Yes,No,No,Yes,Nope,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Democrat
3009,3746,1973.0,Male,,,,Yes,Yes,No,No,No,Yes,Private,No,No,No,No,No,No,No,Science,Try first,Yes,Yes,Yes,No,Giving,Yes,,,,,Cool headed,Standard hours,Yes,Right,Yes,Yes,No,No,A.M.,Yes,Start,Yes,Yes,Circumstances,No,No,Yes,No,No,Mysterious,No,Yes,Talk,Technology,Yes,Yes,Yes,Yes,Yes,,,Mac,Yes,Cautious,No,Umm...,No,Space,Yes,In-person,Yes,No,Yes,Yes,Yay people!,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Own,Pessimist,Mom,Yes,No,Yes,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Republican
1686,2091,1967.0,Female,"$75,000 - $100,000",Married (w/kids),Master's Degree,,No,No,Yes,,,,No,,,,,Yes,Yes,Science,,,,,,,Yes,No,Pragmatist,No,,Cool headed,Standard hours,,,,,,,,,Start,,,,,,,,,,,,,,No,No,Yes,No,Yes,,,,,Risk-friendly,Yes,Yes!,,Space,No,,Yes,Yes,Yes,Yes,,,,,,,No,Yes,No,No,,Yes,,Own,Optimist,Mom,,,Yes,Yes,,Yes,No,Yes,Yes,,,Yes,,,No,Democrat
2901,3614,1987.0,Male,"under $25,000",Single (no kids),Bachelor's Degree,Yes,Yes,No,Yes,Yes,Yes,Public,No,Yes,Yes,Yes,Yes,No,Yes,Art,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Idealist,No,Yes,Cool headed,Odd hours,No,Right,Yes,No,No,No,P.M.,Yes,End,Yes,No,Me,Yes,Yes,Yes,No,No,Mysterious,Yes,No,Tunes,Technology,No,Yes,Yes,No,No,Demanding,No,PC,Yes,Cautious,No,Yes!,No,Space,No,Online,Yes,No,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Rent,Pessimist,Mom,Yes,No,Yes,Yes,Check!,No,No,No,No,No,No,Yes,Yes,No,Yes,Republican
5509,6889,,Male,,,Current K-12,,,,,,,,,,No,Yes,No,Yes,Yes,,,Yes,Yes,,Yes,Giving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4721,5893,1978.0,Male,,Single (no kids),,,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,No,Science,Try first,Yes,No,No,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,No,No,No,No,P.M.,No,Start,Yes,No,Me,Yes,Yes,Yes,No,No,TMI,No,No,Tunes,People,No,Yes,Yes,Yes,No,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Space,No,In-person,Yes,No,No,Yes,Grrr people,No,No,No,No,No,No,Yes,No,No,No,No,No,Rent,Pessimist,Mom,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Republican
3863,4813,1979.0,Female,"$100,001 - $150,000",Married (no kids),Bachelor's Degree,,No,No,Yes,No,No,Public,No,No,No,Yes,Yes,No,Yes,Science,Try first,Yes,No,No,No,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,Yes,Happy,No,Yes,No,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,No,No,Yes,Yes,Mysterious,Yes,No,Tunes,Technology,No,No,Yes,No,No,Supportive,Yes,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Republican
2733,3402,1968.0,Female,"over $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,No,No,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Odd hours,No,Happy,No,Yes,No,Yes,P.M.,No,End,Yes,No,Circumstances,No,No,Yes,Yes,No,TMI,No,Yes,Talk,Technology,Yes,Yes,Yes,No,No,Demanding,No,Mac,No,Risk-friendly,No,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Own,Optimist,Dad,No,No,Yes,No,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Democrat
1895,2344,1960.0,Male,"$100,001 - $150,000",Married (w/kids),High School Diploma,No,No,No,Yes,Yes,Yes,Public,Yes,Yes,No,No,No,No,Yes,Science,Study first,No,No,No,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,No,Circumstances,No,No,No,No,No,Mysterious,Yes,Yes,Tunes,People,No,No,Yes,No,No,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,No,Yes,Yay people!,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Own,Optimist,Mom,Yes,No,Yes,No,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Republican
569,709,1967.0,Male,,Single (w/kids),,,,,,No,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,No,No,Yes,No,Receiving,No,Yes,Idealist,No,Yes,Cool headed,Odd hours,No,Happy,No,Yes,No,No,A.M.,Yes,Start,No,Yes,Circumstances,No,No,No,No,Yes,TMI,No,No,Talk,Technology,Yes,No,No,Yes,No,Supportive,No,Mac,No,Risk-friendly,No,Umm...,Yes,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Own,Optimist,Dad,Yes,No,No,No,Nope,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Republican
1816,2252,1959.0,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,No,Yes,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,,,,,,Giving,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cautious,Yes,Umm...,No,Space,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
2065,2573,1971.0,Male,"over $150,000",Married (w/kids),,,,,,,,,,,,Yes,No,,Yes,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
127,163,1966.0,Female,,Single (w/kids),Associate's Degree,,,Yes,No,No,Yes,Public,No,Yes,Yes,Yes,Yes,No,Yes,Art,Study first,No,No,No,No,Giving,Yes,No,Idealist,No,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,Yes,Yes,No,No,TMI,No,No,Tunes,People,Yes,Yes,Yes,Yes,No,Demanding,No,Mac,Yes,Risk-friendly,Yes,Umm...,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Own,Optimist,Mom,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Democrat
